request_id,date,process_time,closed_date,description,category,status,referred_to,location
351522.0,2024-06-05 03:54:15,0 days 00:57:00,2024-06-05 04:51:15,"Lighting - Parks, Ballfields, Courts and Pathways",BLDGMAINT,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""LAKESIDE PARK - GARDEN CENTER"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
367611.0,2024-06-05 23:14:46,0 days 00:50:00,2024-06-06 00:04:46,Street Light - Outage/Damaged,ELECTRICAL,CLOSED,,"{'latitude': '37.82994772066269', 'longitude': '-122.21549603389354', 'human_address': '{""address"": ""6136 JOHNSTON DR"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
428005.0,2024-06-05 01:57:31,0 days 00:52:00,2024-06-05 02:49:31,City Bldg - Plumbing,BLDGMAINT,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""CITY HALL"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
327246.0,2024-06-05 00:50:21,0 days 00:32:00,2024-06-05 01:22:21,"Illegal Dumping - debris, appliances, etc.",ILLDUMP,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""DAVENPORT AV & CALAVARAS AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
334451.0,2024-06-05 00:30:13,0 days 00:08:00,,Sewers - Blockage,SEWERS,CANCEL,,"{'latitude': '37.74613990075221', 'longitude': '-122.17859685103139', 'human_address': '{""address"": ""1102 92ND AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
354181.0,2024-06-05 09:57:31,0 days 00:12:00,2024-06-05 10:09:31,"Illegal Dumping - debris, appliances, etc.",ILLDUMP,CLOSED,,"{'latitude': '37.820375588029805', 'longitude': '-122.2546950812361', 'human_address': '{""address"": ""58 SANTA CLARA AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
426928.0,2024-06-05 18:27:40,0 days 00:33:00,2024-06-05 19:00:40,Street Light - Outage/Damaged,ELECTRICAL,CLOSED,,"{'latitude': '37.761300057684224', 'longitude': '-122.144428837576', 'human_address': '{""address"": ""4108 FAIRWAY AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
331600.0,2024-06-05 15:12:21,0 days 00:34:00,2024-06-05 15:46:21,Building Maintenance - General,BLDGMAINT,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""ERNEST A ROBINSON (MANZANITA) RECREATION CTR"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
418402.0,2024-06-05 00:09:56,0 days 00:42:00,2024-06-05 00:51:56,Litter - In Public Right of Way,ILLDUMP,CLOSED,,"{'latitude': '37.76005241254552', 'longitude': '-122.18056636627551', 'human_address': '{""address"": ""7701 HOLLY ST"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
378132.0,2024-06-05 19:44:57,0 days 00:29:00,,Litter in Parks,PARKS,CANCEL,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""DIMOND LIBRARY"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
320406.0,2024-06-05 21:19:10,0 days 00:20:00,2024-06-05 21:39:10,Street Light - Outage/Damaged,ELECTRICAL,CLOSED,,"{'latitude': '37.83967838501974', 'longitude': '-122.26199997602862', 'human_address': '{""address"": ""5427 TELEGRAPH AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
410020.0,2024-06-05 23:55:52,0 days 00:09:00,2024-06-06 00:04:52,Tree - Limb Down,TREES,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""BERNHARDT DR & FOSTER AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
331150.0,2024-06-05 12:44:25,0 days 00:11:00,2024-06-05 12:55:25,"Illegal Dumping - debris, appliances, etc.",ILLDUMP,CLOSED,,"{'latitude': '37.77213481051751', 'longitude': '-122.22620355212821', 'human_address': '{""address"": ""763 34TH AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
384656.0,2024-06-05 07:09:39,0 days 00:12:00,2024-06-05 07:21:39,City Bldg - Sign,BLDGMAINT,CLOSED,,"{'latitude': '37.804829656384356', 'longitude': '-122.2713349386928', 'human_address': '{""address"": ""150 FRANK H OGAWA PLAZA"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
442346.0,2024-06-05 14:54:42,0 days 00:42:00,2024-06-05 15:36:42,Sewers - Blockage,SEWERS,CLOSED,,"{'latitude': '37.80754560891285', 'longitude': '-122.20558550513067', 'human_address': '{""address"": ""4216 LINCOLN AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
